EMPLOYEE_ID,LAST_NAME,FRIST_NAME,COMMISSION_PCT,PHONE_NUMBER,EMAIL,HIRE_DATE,MANAGER_ID,JOBB_ID,SALARY,DEPARTMENT_ID,LOCATION_CITY
801,PREETAM,SINGH,13.83,650.507.9833,DOCONNEL,21-Jun-07,124,SH_CLERK,2600,50,AHMEDABAD
802,JAY,"PATEL ",14.009,650.507.9844,DGRANT,13-Jan-08,124,SH_CLERK,2600,50,SURAT
803,PRITI,SINGH,1.695,515.123.4444,JWHALEN,17-Sep-03,101,AD_ASST,4400,10,GHANDINAGAR
804,PRIYA,SINGH,17.578,515.123.5555,MHARTSTE,17-Feb-04,100,MK_MAN,13000,20,AMERLI
805,EKTA,PAL,8.999,603.123.6666,PFAY,17-Aug-05,201,MK_REP,6000,20,BHUJ
806,DIPALI,SHARMA,17.653,515.123.7777,SMAVRIS,7-Jun-02,101,HR_REP,6500,40,DIV
807,KHUSBHUM,PATEL,16.084,515.123.8888,HBAER,7-Jun-02,101,PR_REP,10000,70,RAJKOT
808,SIDDHARATH,PATEL,15.107,515.123.8080,SHIGGINS,7-Jun-02,101,AC_MGR,12008,110,JAMNAGAR
809,AJAY,VAGLA,1.481,515.123.8181,WGIETZ,7-Jun-02,205,AC_ACCOUNT,8300,110,BHAVNAGAR
810,PIYUSH,DESAI,11.279,515.123.4567,SKING,17-Jun-03,205,AD_PRES,24000,90,ANAND
811,YASH,YADEV,4.271,515.123.4568,NKOCHHAR,21-Sep-05,100,AD_VP,17000,90,PATAN
812,DEEP,PARMAR,3.699,515.123.4569,LDEHAAN,13-Jan-01,100,AD_VP,17000,90,MORBI
813,AKSHAY,RAJPUT,19.414,590.423.4567,AHUNOLD,3-Jan-06,102,IT_PROG,9000,60,KHEDA
814,MEET,SINDHI,18.04,590.423.4568,BERNST,21-May-07,103,IT_PROG,6000,60,PALANPUR
815,SRK,KHAN,18.771,590.423.4569,DAUSTIN,25-Jun-05,103,IT_PROG,4800,60,DWARKA
816,AMNAM,KHAN,12.428,590.423.4560,VPATABAL,5-Feb-06,103,IT_PROG,4800,60,VALSAD
817,JON,Lorentz,2.672,590.423.5567,DLORENTZ,7-Feb-07,103,IT_PROG,4200,60,DAHOD
818,Nancy,Greenberg,9.735,515.124.4569,NGREENBE,17-Aug-02,101,FI_MGR,12008,100,VADODARA
819,Daniel,Faviet,14.33,515.124.4169,DFAVIET,16-Aug-02,108,FI_ACCOUNT,9000,100,NAVSARI
820,DIVEL,Chen,4.382,515.124.4269,JCHEN,28-Sep-05,108,FI_ACCOUNT,8200,100,BOTAD
821,JONSON,Sciarra,6.617,515.124.4369,ISCIARRA,30-Sep-05,108,FI_ACCOUNT,7700,100,PORBANDER
822,"Jose Manuel",Urman,16.194,515.124.4469,JMURMAN,7-Mar-06,108,FI_ACCOUNT,7800,100,PANCMAHAL
823,Luis,Popp,3.833,515.124.4567,LPOPP,7-Dec-07,108,FI_ACCOUNT,6900,100,JUNAGADH
824,Den,Raphaely,4.709,515.127.4561,DRAPHEAL,7-Dec-02,100,PU_MAN,11000,30,KUTCH
825,Alexander,Khoo,17.029,515.127.4562,AKHOO,18-May-03,114,PU_CLERK,3100,30,GIR
826,Shelli,Baida,5.118,515.127.4563,SBAIDA,24-Dec-05,114,PU_CLERK,2900,30,SABARKANTH
827,Sigal,Tobias,7.353,515.127.4564,STOBIAS,24-Jul-05,114,PU_CLERK,2800,30,MEHSANA
828,Guy,Himuro,1.26,515.127.4565,GHIMURO,15-Nov-06,114,PU_CLERK,2600,30,DANG
829,Karen,Colmenares,5.965,515.127.4566,KCOLMENA,10-Aug-07,114,PU_CLERK,2500,30,CHHOTA
830,Matthew,Weiss,4.99,650.123.1234,MWEISS,18-Jul-04,100,ST_MAN,8000,50,ARAVALI
831,Adam,Fripp,15.602,650.123.2234,AFRIPP,10-Apr-05,100,ST_MAN,8200,50,UDAIUR
832,Payam,Kaufling,14.822,650.123.3234,PKAUFLIN,1-May-03,100,ST_MAN,7900,50,SOMNATH
833,Shanta,Vollman,8.379,650.123.4234,SVOLLMAN,10-Oct-05,100,ST_MAN,6500,50,BALLARPUR
834,Kevin,Mourgos,6.539,650.123.5234,KMOURGOS,16-Nov-07,100,ST_MAN,5800,50,SANGAMNER
835,Julia,Nayer,7.511,650.124.1214,JNAYER,16-Jul-05,120,ST_CLERK,3200,50,BHANDARA
836,Irene,Mikkilineni,3.887,650.124.1224,IMIKKILI,28-Sep-06,120,ST_CLERK,2700,50,WASHIM
837,James,Landry,17.29,650.124.1334,JLANDRY,14-Jan-07,120,ST_CLERK,2400,50,SANGLI
838,Steven,Markle,8.276,650.124.1434,SMARKLE,8-Mar-08,120,ST_CLERK,2200,50,SATARA
839,Laura,Bissot,6.155,650.124.5234,LBISSOT,20-Aug-05,121,ST_CLERK,3300,50,AKOLA
840,Mozhe,Atkinson,11.955,650.124.6234,MATKINSO,30-Oct-05,121,ST_CLERK,2800,50,DHULE
841,James,Marlow,11.583,650.124.7234,JAMRLOW,16-Feb-05,121,ST_CLERK,2500,50,GONDIA
842,TJ,Olson,8.309,650.124.8234,TJOLSON,10-Apr-07,121,ST_CLERK,2100,50,LATUR
843,Jason,Mallin,12.506,650.127.1934,JMALLIN,14-Jun-04,122,ST_CLERK,3300,50,SOAPUR
844,Michael,Rogers,1.601,650.127.1834,MROGERS,26-Aug-06,122,ST_CLERK,2900,50,THANE
845,Ki,Gee,7.03,650.127.1734,KGEE,12-Dec-07,122,ST_CLERK,2400,50,PUNE
846,Hazel,Philtanker,14.166,650.127.1634,HPHILTAN,6-Feb-08,122,ST_CLERK,2200,50,KHOLHAPUR
847,Renske,Ladwig,1.737,650.121.1234,RLADWIG,14-Jul-03,123,ST_CLERK,3600,50,JALGAON
848,Stephen,Stiles,10.62,650.121.2034,SSTILES,26-Oct-05,123,ST_CLERK,3200,50,NAGPUR
